n,time
1447,0.00342
1448,0.00404
1449,0.003354
1450,0.003379
1451,0.003453
1452,0.003639
1453,0.003505
1454,0.003316
1455,0.003338
1456,0.003388
1457,0.004681
1458,0.003319
1459,0.00394
1460,0.003486
1461,0.004007
1462,0.003367
1463,0.003554
1464,0.004161
1465,0.003831
1466,0.003444
1467,0.003598
1468,0.003548
1469,0.003692
1470,0.003437
1471,0.003451
1472,0.003621
1473,0.003873
1474,0.003457
1475,0.003425
1476,0.00372
1477,0.004033
1478,0.003447
1479,0.003429
1480,0.003732
1481,0.003986
1482,0.003503
1483,0.003414
1484,0.003862
1485,0.004028
1486,0.003507
1487,0.00351
1488,0.003624
1489,0.00351
1490,0.00369
1491,0.003447
1492,0.003622
1493,0.003605
1494,0.003803
1495,0.00354
1496,0.003968
1497,0.003699
1498,0.004499
1499,0.003587
1500,0.004154
1501,0.003767
1502,0.003598
1503,0.003589
1504,0.004212
1505,0.003684
1506,0.003988
1507,0.003472
1508,0.004088
1509,0.004133
1510,0.003736
1511,0.003629
1512,0.003659
1513,0.003858
1514,0.003688
1515,0.003623
1516,0.003735
1517,0.00405
1518,0.003724
1519,0.003643
1520,0.003715
1521,0.00382
1522,0.003948
1523,0.00372
1524,0.003717
1525,0.003636
1526,0.003809
1527,0.003681
1528,0.003805
1529,0.003613
1530,0.003952
1531,0.003751
1532,0.003655
1533,0.003819
1534,0.003807
1535,0.003841
1536,0.003747
1537,0.003727
1538,0.003727
1539,0.003761
1540,0.003809
1541,0.003705
1542,0.003711
1543,0.003704
1544,0.003911
1545,0.003908
1546,0.00377
1547,0.003796
1548,0.003842
1549,0.003676
1550,0.003751
1551,0.003781
1552,0.003772
1553,0.003859
1554,0.004034
1555,0.003751
1556,0.003685
1557,0.003939
1558,0.003929
1559,0.003827
1560,0.003914
1561,0.003996
1562,0.003948
1563,0.003843
1564,0.003879
1565,0.004347
1566,0.003972
1567,0.003888
1568,0.00397
1569,0.004464
1570,0.004076
1571,0.003874
1572,0.003827
1573,0.004198
1574,0.003893
1575,0.003968
1576,0.003927
1577,0.004017
1578,0.003991
1579,0.003874
1580,0.004128
1581,0.004737
1582,0.004272
1583,0.00382
1584,0.004486
1585,0.00403
1586,0.004021
1587,0.004199
1588,0.00562
1589,0.003979
1590,0.003977
1591,0.004637
1592,0.003971
1593,0.004063
1594,0.003914
1595,0.005854
1596,0.004038
1597,0.003893
1598,0.005114
1599,0.004205
1600,0.004262
1601,0.004344
1602,0.004093
1603,0.004081
1604,0.004135
1605,0.006162
1606,0.0042
1607,0.004042
1608,0.004331
1609,0.004018
1610,0.004091
1611,0.004106
1612,0.004266
1613,0.004139
1614,0.004107
1615,0.004211
1616,0.004265
1617,0.00467
1618,0.004077
1619,0.004687
1620,0.004717
1621,0.00412
1622,0.004431
1623,0.004435
1624,0.004567
1625,0.004221
1626,0.004652
1627,0.004618
1628,0.004214
1629,0.004611
1630,0.004677
1631,0.004138
1632,0.004245
1633,0.004681
1634,0.004622
1635,0.004209
1636,0.004779
1637,0.004822
1638,0.004257
1639,0.004478
1640,0.007015
1641,0.004354
1642,0.004899
1643,0.005802
1644,0.004259
1645,0.00449
1646,0.004822
1647,0.004532
1648,0.004339
1649,0.004971
1650,0.004793
1651,0.004367
1652,0.004891
1653,0.004274
1654,0.004309
1655,0.004346
1656,0.004476
1657,0.004273
1658,0.00437
1659,0.004597
1660,0.004427
1661,0.004323
1662,0.004362
1663,0.004585
1664,0.004312
1665,0.004313
1666,0.004446
1667,0.004455
1668,0.004346
1669,0.004372
1670,0.004554
1671,0.004883
1672,0.004407
1673,0.006034
1674,0.004431
1675,0.004461
1676,0.004662
1677,0.004679
1678,0.004405
1679,0.00471
1680,0.004774
1681,0.004422
1682,0.004305
1683,0.00516
1684,0.004328
1685,0.004497
1686,0.005117
1687,0.004578
1688,0.004612
1689,0.004837
1690,0.004513
1691,0.004712
1692,0.005037
1693,0.004535
1694,0.004697
1695,0.004689
1696,0.006489
1697,0.004765
1698,0.005263
1699,0.006152
1700,0.004679
1701,0.005233
1702,0.004378
1703,0.008999
1704,0.00515
1705,0.004687
1706,0.00454
1707,0.004806
1708,0.004561
1709,0.004621
1710,0.006137
1711,0.004725
1712,0.004892
1713,0.005413
1714,0.004651
1715,0.004871
1716,0.005289
1717,0.004675
1718,0.004776
1719,0.004766
1720,0.004808
1721,0.00536
1722,0.006126
1723,0.004644
1724,0.004878
1725,0.004927
1726,0.004488
1727,0.004661
1728,0.00476
1729,0.004898
1730,0.004714
1731,0.00493
1732,0.004844
1733,0.004646
1734,0.004847
1735,0.006956
1736,0.004714
1737,0.004988
1738,0.005483
1739,0.004861
1740,0.004946
1741,0.004858
1742,0.004747
1743,0.005048
1744,0.005015
1745,0.004766
1746,0.005098
1747,0.005018
1748,0.004688
1749,0.005121
1750,0.005171
1751,0.004897
1752,0.005044
1753,0.005457
1754,0.00492
1755,0.004888
1756,0.00628
1757,0.004857
1758,0.004806
1759,0.005173
1760,0.0047
1761,0.004903
1762,0.00504
1763,0.00481
1764,0.004888
1765,0.005079
1766,0.004982
1767,0.004975
1768,0.005368
1769,0.004834
1770,0.005036
1771,0.005501
1772,0.004947
1773,0.004992
1774,0.005298
1775,0.005033
1776,0.005129
1777,0.00531
1778,0.005082
1779,0.004984
1780,0.005629
1781,0.005153
1782,0.00503
1783,0.00576
1784,0.005214
1785,0.005131
1786,0.005519
1787,0.005064
1788,0.005028
1789,0.005723
1790,0.004975
1791,0.005099
1792,0.005962
1793,0.004932
1794,0.005237
1795,0.005939
1796,0.005064
1797,0.005496
1798,0.005344
1799,0.004979
1800,0.005486
1801,0.005359
1802,0.005048
1803,0.00557
1804,0.006069
1805,0.005612
1806,0.005765
